station_id,lat,lon,tmean_c
41.26654_1.99814,41.26654,1.99814,29.53524
41.266556_2.020861,41.266556,2.020861,28.821161
41.266563_2.043581,41.266563,2.043581,27.90029
41.26657_2.066302,41.26657,2.066302,28.018875
41.266598_2.010092,41.266598,2.010092,29.460978
41.26661_2.032813,41.26661,2.032813,28.057531
41.266617_2.055534,41.266617,2.055534,27.935846
41.266617_2.078254,41.266617,2.078254,28.187773
41.266636_1.999323,41.266636,1.999323,29.57724
41.26665_2.022044,41.26665,2.022044,28.820648
41.26666_2.044765,41.26666,2.044765,27.895796
41.266663_2.067486,41.266663,2.067486,28.036871
41.266693_2.011276,41.266693,2.011276,29.48066
41.266705_2.033997,41.266705,2.033997,28.046358
41.26671_2.056717,41.26671,2.056717,27.948141
41.266712_2.079438,41.266712,2.079438,28.19502
41.26673_2.000507,41.26673,2.000507,29.613409
41.266747_2.023228,41.266747,2.023228,28.851807
41.266754_2.045949,41.266754,2.045949,27.89511
41.266758_2.06867,41.266758,2.06867,28.057037
41.26679_2.01246,41.26679,2.01246,29.465055
41.2668_2.03518,41.2668,2.03518,28.034224
41.266804_2.057901,41.266804,2.057901,27.958847
41.266808_2.080622,41.266808,2.080622,28.203278
41.266827_2.001691,41.266827,2.001691,29.615074
41.26684_2.024412,41.26684,2.024412,29.29155
41.26685_2.047133,41.26685,2.047133,27.89771
41.266853_2.069853,41.266853,2.069853,28.080313
41.26688_2.013643,41.26688,2.013643,29.460014
41.26689_2.036364,41.26689,2.036364,28.030434
41.2669_2.059085,41.2669,2.059085,27.966696
41.2669_2.081805,41.2669,2.081805,28.2134
41.266922_2.002874,41.266922,2.002874,29.597939
41.266937_2.025595,41.266937,2.025595,29.281687
41.266945_2.048316,41.266945,2.048316,27.898201
41.26695_2.071037,41.26695,2.071037,28.106375
41.266975_2.014827,41.266975,2.014827,29.45582
41.266987_2.037548,41.266987,2.037548,28.02035
41.266994_2.060269,41.266994,2.060269,27.9811
41.266994_2.082989,41.266994,2.082989,28.223139
41.267017_2.004058,41.267017,2.004058,29.576027
41.267033_2.026779,41.267033,2.026779,29.261131
41.26704_2.0495,41.26704,2.0495,27.893593
41.267044_2.072221,41.267044,2.072221,28.128922
41.26707_2.016011,41.26707,2.016011,29.452147
41.267082_2.038731,41.267082,2.038731,27.999899
41.26709_2.061452,41.26709,2.061452,27.99558
41.26709_2.084173,41.26709,2.084173,28.23084
41.267113_2.005242,41.267113,2.005242,29.565928
41.267128_2.027963,41.267128,2.027963,29.178122
41.267136_2.050684,41.267136,2.050684,27.89318
41.267136_2.073405,41.267136,2.073405,28.144865
41.267166_2.017194,41.267166,2.017194,29.463678
41.267178_2.039915,41.267178,2.039915,27.983248
41.267185_2.062636,41.267185,2.062636,28.00297
41.267185_2.085357,41.267185,2.085357,28.237135
41.26721_2.006425,41.26721,2.006425,29.571074
41.26722_2.029146,41.26722,2.029146,29.140572
41.26723_2.051867,41.26723,2.051867,27.901686
41.26723_2.074588,41.26723,2.074588,28.157387
41.26726_2.018378,41.26726,2.018378,29.44951
41.267273_2.041099,41.267273,2.041099,27.966215
41.267277_2.06382,41.267277,2.06382,28.008179
41.267277_2.08654,41.267277,2.08654,28.240982
41.267303_2.007609,41.267303,2.007609,29.53533
41.267315_2.03033,41.267315,2.03033,28.101715
41.267323_2.053051,41.267323,2.053051,27.91037
41.267326_2.075772,41.267326,2.075772,28.173288
41.267357_2.019561,41.267357,2.019561,29.438705
41.26737_2.042283,41.26737,2.042283,27.94925
41.267372_2.065003,41.267372,2.065003,28.020216
41.267372_2.087724,41.267372,2.087724,28.244112
41.2674_2.008793,41.2674,2.008793,29.535498
41.26741_2.031514,41.26741,2.031514,28.110306
41.267418_2.054235,41.267418,2.054235,27.921494
41.26742_2.076956,41.26742,2.076956,28.188072
41.267437_1.998024,41.267437,1.998024,29.579035
41.267452_2.020745,41.267452,2.020745,29.415228
41.267464_2.043466,41.267464,2.043466,27.949396
41.267467_2.066187,41.267467,2.066187,28.037817
41.267467_2.088908,41.267467,2.088908,28.251276
41.267494_2.009976,41.267494,2.009976,29.521978
41.267506_2.032697,41.267506,2.032697,28.114553
41.267513_2.055418,41.267513,2.055418,27.93429
41.267517_2.078139,41.267517,2.078139,28.199316
41.267532_1.999207,41.267532,1.999207,29.618189
41.267548_2.021929,41.267548,2.021929,29.38565
41.26756_2.04465,41.26756,2.04465,27.944677
41.267563_2.067371,41.267563,2.067371,28.057467
41.267563_2.090092,41.267563,2.090092,28.265175
41.26759_2.01116,41.26759,2.01116,29.52861
41.2676_2.033881,41.2676,2.033881,28.103676
41.26761_2.056602,41.26761,2.056602,27.947737
41.26761_2.079323,41.26761,2.079323,28.207602
41.267628_2.000391,41.267628,2.000391,29.642496
41.267643_2.023112,41.267643,2.023112,29.410433
41.267654_2.045834,41.267654,2.045834,27.939354
41.267654_2.091275,41.267654,2.091275,28.276415
41.26766_2.068555,41.26766,2.068555,28.076036
41.267685_2.012344,41.267685,2.012344,29.507181
41.267696_2.035065,41.267696,2.035065,28.083689
41.267704_2.057786,41.267704,2.057786,27.956253
41.267704_2.080507,41.267704,2.080507,28.220064
41.267727_2.001575,41.267727,2.001575,29.643967
41.26774_2.024296,41.26774,2.024296,29.41153
41.26775_2.047017,41.26775,2.047017,27.937449
41.26775_2.092459,41.26775,2.092459,28.285864
41.267754_2.069738,41.267754,2.069738,28.098078
41.26778_2.013527,41.26778,2.013527,29.517197
41.26779_2.036248,41.26779,2.036248,28.067604
41.2678_2.05897,41.2678,2.05897,27.966639
41.2678_2.081691,41.2678,2.081691,28.231985
41.267822_2.002759,41.267822,2.002759,29.613558
41.267834_2.02548,41.267834,2.02548,29.373077
41.26784_2.048201,41.26784,2.048201,27.9403
41.267845_2.070922,41.267845,2.070922,28.12147
41.267845_2.093643,41.267845,2.093643,28.292482
41.267876_2.014711,41.267876,2.014711,29.509134
41.267887_2.037432,41.267887,2.037432,28.060389
41.26789_2.060153,41.26789,2.060153,27.984795
41.267895_2.082874,41.267895,2.082874,28.241531
41.267918_2.003942,41.267918,2.003942,29.61006
